LEMMA	PROB
's	7.280996040258308e-05
1	1.680229855444225e-05
2	1.820249010064577e-05
CHAR	0.014248349174167027
a	0.0001484203038975732
ab	1.820249010064577e-05
abandon	0.00018902585873747528
abdomen	3.36045971088845e-05
ability	0.00023943275440080203
able	0.000820512246075263
abnegation	1.680229855444225e-05
about	0.0005208712551877097
absence	8.541168431841476e-05
absent	2.380325628545985e-05
absorb	4.200574638610562e-05
accent	7.561034349499012e-05
accept	0.00022123026430015627
access	2.660363937786689e-05
accident	3.640498020129154e-05
accompany	7.981091813360068e-05
accomplice	1.820249010064577e-05
account	5.460747030193731e-05
accusation	2.8003830924070414e-05
accuse	0.00016102202781340488
ache	7.280996040258308e-05
achieve	1.960268164684929e-05
acknowledge	0.00014702011235136967
act	0.00043685976241549846
action	0.00010501436596526404
add	0.001223767411381877
address	0.000169423177090626
adjust	0.00014982049544377672
admire	0.00010361417441906052
admit	0.0004074557399452245
admonish	1.960268164684929e-05
adopt	3.780517174749506e-05
adorable	2.380325628545985e-05
adore	3.920536329369858e-05
adrenaline	1.5402107008238726e-05
advance	5.880804494054787e-05
advantage	6.7209194217769e-05
adventure	2.660363937786689e-05
advice	8.681187586461828e-05
advise	6.020823648675139e-05
adviser	2.240306473925633e-05
affect	6.7209194217769e-05
affection	2.8003830924070414e-05
afford	4.900670411712322e-05
afraid	0.0003682503766515259
afternoon	1.960268164684929e-05
again	6.440881112536196e-05
age	0.0002436333290394126
agent	1.680229855444225e-05
aghast	1.680229855444225e-05
agitation	2.660363937786689e-05
agree	0.000820512246075263
agreement	5.320727875573378e-05
aid	3.080421401647745e-05
aim	0.00012461704761211332
air	8.541168431841476e-05
aisle	2.660363937786689e-05
alarm	3.500478865508802e-05
album	1.820249010064577e-05
alert	7.981091813360068e-05
alive	0.0004396601455079055
all	0.00039905459066800336
allow	0.0006174844718757526
ally	6.16084280329549e-05
alone	0.00018202490100645768
alpha	4.480612947851266e-05
alter	3.500478865508802e-05
alternate	2.380325628545985e-05
amaze	3.780517174749506e-05
amazing	3.920536329369858e-05
amble	1.5402107008238726e-05
ambush	2.660363937786689e-05
amend	3.080421401647745e-05
american	1.960268164684929e-05
amount	1.960268164684929e-05
amplifier	2.100287319305281e-05
amuse	7.280996040258308e-05
amusement	2.380325628545985e-05
analyze	1.820249010064577e-05
ancestor	1.5402107008238726e-05
anchor	3.640498020129154e-05
android	1.960268164684929e-05
angel	5.880804494054787e-05
anger	0.00022683103048497035
angle	6.300861957915842e-05
angrier	1.960268164684929e-05
angry	0.0002772379261482971
animal	3.640498020129154e-05
ankle	0.00017362375172923656
announce	0.0004172570807686491
announcement	2.660363937786689e-05
annoy	7.841072658739716e-05
annoyance	2.660363937786689e-05
annoyed	4.340593793230914e-05
annoying	2.9404022470273934e-05
another	5.880804494054787e-05
answer	0.0017544400073930115
antic	1.680229855444225e-05
anticipate	4.480612947851266e-05
anxiety	5.740785339434435e-05
anxious	4.620632102471618e-05
any	0.00011061513215007814
anyone	0.00010501436596526404
anything	0.0006188846634219561
apartment	0.00022683103048497035
apologize	8.681187586461828e-05
apology	4.06055548399021e-05
appeal	2.660363937786689e-05
appear	0.0007351005617568483
appearance	0.00011201532369628166
appetite	2.100287319305281e-05
apple	2.9404022470273934e-05
application	1.5402107008238726e-05
apply	5.740785339434435e-05
appraise	2.100287319305281e-05
appreciate	9.941359978044996e-05
approach	0.0005656773846662224
approval	6.300861957915842e-05
approve	4.76065125709197e-05
apron	3.080421401647745e-05
arch	0.00014982049544377672
archangel	5.880804494054787e-05
area	2.520344783166337e-05
argue	0.0002562350529552443
argument	4.620632102471618e-05
arm	0.007412614045601438
armor	3.640498020129154e-05
armpit	1.680229855444225e-05
army	0.00021842988120774923
around	1.820249010064577e-05
arrange	6.860938576397252e-05
arrangement	1.820249010064577e-05
arrest	5.880804494054787e-05
arrival	5.180708720953026e-05
arrive	0.00045786263560855127
arrogant	2.240306473925633e-05
arrow	5.320727875573378e-05
art	2.8003830924070414e-05
artifact	2.660363937786689e-05
artist	2.520344783166337e-05
as	4.900670411712322e-05
ash	1.820249010064577e-05
ashamed	3.080421401647745e-05
ask	0.016425647028513502
asleep	0.0002534346698628372
ass	0.00010921494060387462
assassinate	2.520344783166337e-05
assault	3.36045971088845e-05
assess	4.200574638610562e-05
assessment	1.5402107008238726e-05
asshole	1.680229855444225e-05
assign	8.261130122600772e-05
assignment	3.500478865508802e-05
assist	3.640498020129154e-05
assistance	2.100287319305281e-05
assistant	7.140976885637956e-05
associate	3.080421401647745e-05
assume	0.00019462662492228936
assurance	1.820249010064577e-05
assure	0.00044386072014651606
astonish	1.680229855444225e-05
attach	4.620632102471618e-05
attack	0.00041165631458383505
attacker	1.820249010064577e-05
attempt	0.00024223313749320908
attend	6.020823648675139e-05
attention	0.0007463020941264765
attitude	9.52130251418394e-05
attractive	2.240306473925633e-05
aunt	0.00016382241090581192
aura	5.600766184814083e-05
author	2.520344783166337e-05
authority	3.640498020129154e-05
avert	5.740785339434435e-05
avoid	0.00028563907542551823
await	2.660363937786689e-05
awake	0.0002576352445014478
awaken	2.240306473925633e-05
aware	0.00014421972925896263
awareness	1.5402107008238726e-05
awesome	1.960268164684929e-05
awful	3.220440556268098e-05
awkward	3.080421401647745e-05
ax	6.16084280329549e-05
babble	2.100287319305281e-05
baby	0.0001288176222507239
babysit	1.5402107008238726e-05
back	0.0025021422930656912
background	1.820249010064577e-05
backhand	1.820249010064577e-05
backpack	0.00020582815729191752
backside	2.9404022470273934e-05
backyard	4.200574638610562e-05
bad	0.00019602681646849288
badge	3.500478865508802e-05
bag	0.0006160842803295491
bail	1.960268164684929e-05
bait	3.220440556268098e-05
bakery	2.9404022470273934e-05
balance	0.00013721877152794503
balcony	2.100287319305281e-05
ball	9.661321668804292e-05
band	0.000102213982872857
bandage	4.900670411712322e-05
bang	0.00011061513215007814
banish	2.240306473925633e-05
bank	2.240306473925633e-05
bar	6.16084280329549e-05
bare	9.101245050322884e-05
barefoot	2.100287319305281e-05
bargain	1.680229855444225e-05
barge	2.100287319305281e-05
bark	0.0002450335205856161
barn	1.5402107008238726e-05
barrel	5.180708720953026e-05
base	2.660363937786689e-05
basement	2.9404022470273934e-05
bash	1.5402107008238726e-05
basket	2.380325628545985e-05
bastard	2.520344783166337e-05
bat	8.961225895702532e-05
bath	4.900670411712322e-05
bathroom	4.06055548399021e-05
battle	6.860938576397252e-05
be	0.009858748676818989
beach	3.220440556268098e-05
beak	1.5402107008238726e-05
beam	0.00020862854038432456
bear	0.0003108425232571816
beard	7.140976885637956e-05
bearing	3.080421401647745e-05
beast	1.820249010064577e-05
beat	0.00041305650613003857
beating	2.9404022470273934e-05
beautiful	0.00018902585873747528
beauty	5.460747030193731e-05
beckon	0.00013301819688933447
become	0.0005488750861117801
bed	0.0007925084151511926
bedroll	2.100287319305281e-05
bedroom	0.0003318453964502344
bedside	2.380325628545985e-05
beer	6.300861957915842e-05
beg	0.00027863811769450063
begin	0.001898659736651974
behalf	3.920536329369858e-05
behave	3.500478865508802e-05
behavior	7.42101519487866e-05
being	1.5402107008238726e-05
belief	2.380325628545985e-05
believe	0.0012419699014825228
bell	1.5402107008238726e-05
bellow	9.101245050322884e-05
belly	0.00010361417441906052
belong	0.00011901628142729926
belongings	3.080421401647745e-05
beloved	1.960268164684929e-05
belt	0.00020862854038432456
bench	1.5402107008238726e-05
bend	0.00013161800534313095
benefit	3.640498020129154e-05
bent	0.00026603639377866895
best	0.00043685976241549846
bet	3.220440556268098e-05
betray	0.0002170296896615457
betrayal	4.340593793230914e-05
better	0.0002982407993413499
bicep	3.500478865508802e-05
biceps	5.180708720953026e-05
bid	2.660363937786689e-05
big	0.00015822164472099784
bigger	3.220440556268098e-05
biggest	1.960268164684929e-05
bike	8.12111096798042e-05
bikini	1.5402107008238726e-05
bill	3.920536329369858e-05
bind	7.981091813360068e-05
bird	3.780517174749506e-05
birth	1.960268164684929e-05
birthday	0.00016662279399821896
bit	0.00015402107008238728
bitch	2.380325628545985e-05
bite	0.0005418741283807625
bitter	1.680229855444225e-05
black	0.00013301819688933447
blade	0.0002226304558463598
